THS_HA,http://yavaa.org/ns/units/thousandHectar
Thousand ha,http://yavaa.org/ns/units/thousandHectar
THS_MN,http://yavaa.org/ns/units/thousandMinute
THS_M2,http://yavaa.org/ns/units/thousandSquaremeter
1 000 t,http://www.wurvoc.org/vocabularies/om-1.8/kilotonne
1 000 tonnes,http://www.wurvoc.org/vocabularies/om-1.8/kilotonne
Thousand t,http://www.wurvoc.org/vocabularies/om-1.8/kilotonne
Thousand tonnes,http://www.wurvoc.org/vocabularies/om-1.8/kilotonne
THS_TD,http://yavaa.org/ns/units/thousandTonnePerDay
KTOE,http://yavaa.org/ns/units/thousandTonnesOilEquivalent
1 000 tonnes of oil equivalent,http://yavaa.org/ns/units/thousandTonnesOilEquivalent
O2_TD,http://yavaa.org/ns/units/tonnePerDay
T_HAB,-
